sterling,£
viewdata,⌗
turnednot,⌙
ulcorner,⌜
urcorner,⌝
llcorner,⌞
lrcorner,⌟
inttop,⌠
intbottom,⌡
frown,⌢
smile,⌣
varhexagonlrbonds,⌬
conictaper,⌲
topbot,⌶
obar,⌽
APLnotslash,⌿
APLnotbackslash,⍀
APLboxupcaret,⍓
APLboxquestion,⍰
rangledownzigzagarrow,⍼
hexagon,⎔
lparenuend,⎛
lparenextender,⎜
lparenlend,⎝
rparenuend,⎞
rparenextender,⎟
rparenlend,⎠
lbrackuend,⎡
lbrackextender,⎢
lbracklend,⎣
rbrackuend,⎤
rbrackextender,⎥
rbracklend,⎦
lbraceuend,⎧
lbracemid,⎨
lbracelend,⎩
vbraceextender,⎪
rbraceuend,⎫
rbracemid,⎬
rbracelend,⎭
intextender,⎮
harrowextender,⎯
lmoustache,⎰
rmoustache,⎱
sumtop,⎲
sumbottom,⎳
overbracket,⎴
underbracket,⎵
bbrktbrk,⎶
sqrtbottom,⎷
lvboxline,⎸
rvboxline,⎹
varcarriagereturn,⏎
overparen,⏜
underparen,⏝
overbrace,⏞
underbrace,⏟
obrbrak,⏠
ubrbrak,⏡
trapezium,⏢
benzenr,⏣
strns,⏤
fltns,⏥
accurrent,⏦
elinters,⏧
blanksymbol,␢
visiblespace,␣
bdtriplevdash,┆
blockuphalf,▀
blocklowhalf,▄
blockfull,█
blocklefthalf,▌
blockrighthalf,▐
blockqtrshaded,░
blockhalfshaded,▒
blockthreeqtrshaded,▓
mdlgblksquare,■
mdlgwhtsquare,□
squoval,▢
blackinwhitesquare,▣
squarehfill,▤
squarevfill,▥
squarehvfill,▦
squarenwsefill,▧
squareneswfill,▨
squarecrossfill,▩
smblksquare,▪
smwhtsquare,▫
hrectangleblack,▬
hrectangle,▭
vrectangleblack,▮
vrectangle,▯
parallelogramblack,▰
parallelogram,▱
bigblacktriangleup,▲
bigtriangleup,△
blacktriangle,▴
vartriangle,▵
blacktriangleright,▶
triangleright,▷
smallblacktriangleright,▸
smalltriangleright,▹
blackpointerright,►
whitepointerright,▻
bigblacktriangledown,▼
bigtriangledown,▽
blacktriangledown,▾
triangledown,▿
blacktriangleleft,◀
triangleleft,◁
smallblacktriangleleft,◂
smalltriangleleft,◃
blackpointerleft,◄
whitepointerleft,◅
mdlgblkdiamond,◆
mdlgwhtdiamond,◇
blackinwhitediamond,◈
fisheye,◉
mdlgwhtlozenge,◊
mdlgwhtcircle,○
dottedcircle,◌
circlevertfill,◍
bullseye,◎
mdlgblkcircle,●
circlelefthalfblack,◐
circlerighthalfblack,◑
circlebottomhalfblack,◒
circletophalfblack,◓
circleurquadblack,◔
blackcircleulquadwhite,◕
blacklefthalfcircle,◖
blackrighthalfcircle,◗
inversebullet,◘
inversewhitecircle,◙
invwhiteupperhalfcircle,◚
invwhitelowerhalfcircle,◛
ularc,◜
urarc,◝
lrarc,◞
llarc,◟
topsemicircle,◠
botsemicircle,◡
lrblacktriangle,◢
llblacktriangle,◣
ulblacktriangle,◤
urblacktriangle,◥
smwhtcircle,◦
squareleftblack,◧
squarerightblack,◨
squareulblack,◩
squarelrblack,◪
boxbar,◫
trianglecdot,◬
triangleleftblack,◭
trianglerightblack,◮
lgwhtcircle,◯
squareulquad,◰
squarellquad,◱
squarelrquad,◲
squareurquad,◳
circleulquad,◴
circlellquad,◵
circlelrquad,◶
circleurquad,◷
ultriangle,◸
urtriangle,◹
lltriangle,◺
mdwhtsquare,◻
mdblksquare,◼
mdsmwhtsquare,◽
mdsmblksquare,◾
lrtriangle,◿
bigstar,★
bigwhitestar,☆
astrosun,☉
danger,☡
blacksmiley,☻
sun,☼
rightmoon,☽
leftmoon,☾
female,♀
male,♂
spadesuit,♠
heartsuit,♡
diamondsuit,♢
clubsuit,♣
varspadesuit,♤
varheartsuit,♥
vardiamondsuit,♦
varclubsuit,♧
quarternote,♩
eighthnote,♪
twonotes,♫
flat,♭
natural,♮
sharp,♯
acidfree,♾
dicei,⚀
diceii,⚁
diceiii,⚂
diceiv,⚃
dicev,⚄
dicevi,⚅
circledrightdot,⚆
circledtwodots,⚇
blackcircledrightdot,⚈
blackcircledtwodots,⚉
Hermaphrodite,⚥
mdwhtcircle,⚪
mdblkcircle,⚫
mdsmwhtcircle,⚬
neuter,⚲
checkmark,✓
maltese,✠
circledstar,✪
varstar,✶
dingasterisk,✽
lbrbrak,❲
rbrbrak,❳
draftingarrow,➛
threedangle,⟀
whiteinwhitetriangle,⟁
perp,⟂
subsetcirc,⟃
supsetcirc,⟄
lbag,⟅
rbag,⟆
veedot,⟇
bsolhsub,⟈
suphsol,⟉
longdivision,⟌
diamondcdot,⟐
wedgedot,⟑
upin,⟒
pullback,⟓
pushout,⟔
leftouterjoin,⟕
rightouterjoin,⟖
fullouterjoin,⟗
bigbot,⟘
bigtop,⟙
DashVDash,⟚
dashVdash,⟛
multimapinv,⟜
vlongdash,⟝
longdashv,⟞
cirbot,⟟
lozengeminus,⟠
concavediamond,⟡
concavediamondtickleft,⟢
concavediamondtickright,⟣
whitesquaretickleft,⟤
whitesquaretickright,⟥
lBrack,⟦
rBrack,⟧
langle,⟨
rangle,⟩
lAngle,⟪
rAngle,⟫
Lbrbrak,⟬
Rbrbrak,⟭
lgroup,⟮
rgroup,⟯
UUparrow,⟰
DDownarrow,⟱
acwgapcirclearrow,⟲
cwgapcirclearrow,⟳
rightarrowonoplus,⟴
longleftarrow,⟵
longrightarrow,⟶
longleftrightarrow,⟷
Longleftarrow,⟸
Longrightarrow,⟹
Longleftrightarrow,⟺
longmapsfrom,⟻
longmapsto,⟼
Longmapsfrom,⟽
Longmapsto,⟾
longrightsquigarrow,⟿
nvtwoheadrightarrow,⤀
nVtwoheadrightarrow,⤁
nvLeftarrow,⤂
nvRightarrow,⤃
nvLeftrightarrow,⤄
twoheadmapsto,⤅
Mapsfrom,⤆
Mapsto,⤇
downarrowbarred,⤈
uparrowbarred,⤉
Uuparrow,⤊
Ddownarrow,⤋
leftbkarrow,⤌
rightbkarrow,⤍
leftdbkarrow,⤎
dbkarrow,⤏
drbkarrow,⤐
rightdotarrow,⤑
baruparrow,⤒
downarrowbar,⤓
nvrightarrowtail,⤔
nVrightarrowtail,⤕
twoheadrightarrowtail,⤖
nvtwoheadrightarrowtail,⤗
nVtwoheadrightarrowtail,⤘
lefttail,⤙
righttail,⤚
leftdbltail,⤛
rightdbltail,⤜
diamondleftarrow,⤝
rightarrowdiamond,⤞
diamondleftarrowbar,⤟
barrightarrowdiamond,⤠
nwsearrow,⤡
neswarrow,⤢
hknwarrow,⤣
hknearrow,⤤
hksearrow,⤥
hkswarrow,⤦
tona,⤧
toea,⤨
tosa,⤩
towa,⤪
rdiagovfdiag,⤫
fdiagovrdiag,⤬
seovnearrow,⤭
neovsearrow,⤮
fdiagovnearrow,⤯
rdiagovsearrow,⤰
neovnwarrow,⤱
nwovnearrow,⤲
rightcurvedarrow,⤳
uprightcurvearrow,⤴
downrightcurvedarrow,⤵
leftdowncurvedarrow,⤶
rightdowncurvedarrow,⤷
cwrightarcarrow,⤸
acwleftarcarrow,⤹
acwoverarcarrow,⤺
acwunderarcarrow,⤻
curvearrowrightminus,⤼
curvearrowleftplus,⤽
cwundercurvearrow,⤾
ccwundercurvearrow,⤿
acwcirclearrow,⥀
cwcirclearrow,⥁
rightarrowshortleftarrow,⥂
leftarrowshortrightarrow,⥃
shortrightarrowleftarrow,⥄
rightarrowplus,⥅
leftarrowplus,⥆
rightarrowx,⥇
leftrightarrowcircle,⥈
twoheaduparrowcircle,⥉
leftrightharpoonupdown,⥊
leftrightharpoondownup,⥋
updownharpoonrightleft,⥌
updownharpoonleftright,⥍
leftrightharpoonupup,⥎
updownharpoonrightright,⥏
leftrightharpoondowndown,⥐
updownharpoonleftleft,⥑
barleftharpoonup,⥒
rightharpoonupbar,⥓
barupharpoonright,⥔
downharpoonrightbar,⥕
barleftharpoondown,⥖
rightharpoondownbar,⥗
barupharpoonleft,⥘
downharpoonleftbar,⥙
leftharpoonupbar,⥚
barrightharpoonup,⥛
upharpoonrightbar,⥜
bardownharpoonright,⥝
leftharpoondownbar,⥞
barrightharpoondown,⥟
upharpoonleftbar,⥠
bardownharpoonleft,⥡
leftharpoonsupdown,⥢
upharpoonsleftright,⥣
rightharpoonsupdown,⥤
downharpoonsleftright,⥥
leftrightharpoonsup,⥦
leftrightharpoonsdown,⥧
rightleftharpoonsup,⥨
rightleftharpoonsdown,⥩
leftharpoonupdash,⥪
dashleftharpoondown,⥫
rightharpoonupdash,⥬
dashrightharpoondown,⥭
updownharpoonsleftright,⥮
downupharpoonsleftright,⥯
rightimply,⥰
equalrightarrow,⥱
similarrightarrow,⥲
leftarrowsimilar,⥳
rightarrowsimilar,⥴
rightarrowapprox,⥵
ltlarr,⥶
leftarrowless,⥷
gtrarr,⥸
subrarr,⥹
leftarrowsubset,⥺
suplarr,⥻
leftfishtail,⥼
rightfishtail,⥽
upfishtail,⥾
downfishtail,⥿
Vvert,⦀
mdsmblkcircle,⦁
typecolon,⦂
lBrace,⦃
rBrace,⦄
lParen,⦅
rParen,⦆
llparenthesis,⦇
rrparenthesis,⦈
llangle,⦉
rrangle,⦊
lbrackubar,⦋
rbrackubar,⦌
lbrackultick,⦍
rbracklrtick,⦎
lbracklltick,⦏
rbrackurtick,⦐
langledot,⦑
rangledot,⦒
lparenless,⦓
rparengtr,⦔
Lparengtr,⦕
Rparenless,⦖
lblkbrbrak,⦗
rblkbrbrak,⦘
fourvdots,⦙
vzigzag,⦚
measuredangleleft,⦛
rightanglesqr,⦜
rightanglemdot,⦝
angles,⦞
angdnr,⦟
gtlpar,⦠
sphericalangleup,⦡
turnangle,⦢
revangle,⦣
angleubar,⦤
revangleubar,⦥
wideangledown,⦦
wideangleup,⦧
measanglerutone,⦨
measanglelutonw,⦩
measanglerdtose,⦪
measangleldtosw,⦫
measangleurtone,⦬
measangleultonw,⦭
measangledrtose,⦮
measangledltosw,⦯
revemptyset,⦰
emptysetobar,⦱
emptysetocirc,⦲
emptysetoarr,⦳
emptysetoarrl,⦴
circlehbar,⦵
circledvert,⦶
circledparallel,⦷
obslash,⦸
operp,⦹
obot,⦺
olcross,⦻
odotslashdot,⦼
uparrowoncircle,⦽
circledwhitebullet,⦾
circledbullet,⦿
olessthan,⧀
ogreaterthan,⧁
cirscir,⧂
cirE,⧃
boxdiag,⧄
boxbslash,⧅
boxast,⧆
boxcircle,⧇
boxbox,⧈
boxonbox,⧉
triangleodot,⧊
triangleubar,⧋
triangles,⧌
triangleserifs,⧍
rtriltri,⧎
ltrivb,⧏
vbrtri,⧐
lfbowtie,⧑
rfbowtie,⧒
fbowtie,⧓
lftimes,⧔
rftimes,⧕
hourglass,⧖
blackhourglass,⧗
lvzigzag,⧘
rvzigzag,⧙
Lvzigzag,⧚
Rvzigzag,⧛
iinfin,⧜
tieinfty,⧝
nvinfty,⧞
dualmap,⧟
laplac,⧠
lrtriangleeq,⧡
shuffle,⧢
eparsl,⧣
smeparsl,⧤
eqvparsl,⧥
gleichstark,⧦
thermod,⧧
downtriangleleftblack,⧨
downtrianglerightblack,⧩
blackdiamonddownarrow,⧪
mdlgblklozenge,⧫
circledownarrow,⧬
blackcircledownarrow,⧭
errbarsquare,⧮
errbarblacksquare,⧯
errbardiamond,⧰
errbarblackdiamond,⧱
errbarcircle,⧲
errbarblackcircle,⧳
ruledelayed,⧴
setminus,⧵
dsol,⧶
rsolbar,⧷
xsol,⧸
xbsol,⧹
doubleplus,⧺
tripleplus,⧻
lcurvyangle,⧼
rcurvyangle,⧽
tplus,⧾
tminus,⧿
bigodot,⨀
bigoplus,⨁
bigotimes,⨂
bigcupdot,⨃
biguplus,⨄
bigsqcap,⨅
bigsqcup,⨆
conjquant,⨇
disjquant,⨈
bigtimes,⨉
modtwosum,⨊
sumint,⨋
iiiint,⨌
intbar,⨍
intBar,⨎
fint,⨏
cirfnint,⨐
awint,⨑
rppolint,⨒
scpolint,⨓
npolint,⨔
pointint,⨕
sqint,⨖
intlarhk,⨗
intx,⨘
intcap,⨙
intcup,⨚
upint,⨛
lowint,⨜
Join,⨝
bigtriangleleft,⨞
zcmp,⨟
zpipe,⨠
zproject,⨡
ringplus,⨢
plushat,⨣
simplus,⨤
plusdot,⨥
plussim,⨦
plussubtwo,⨧
plustrif,⨨
commaminus,⨩
minusdot,⨪
minusfdots,⨫
minusrdots,⨬
opluslhrim,⨭
oplusrhrim,⨮
vectimes,⨯
dottimes,⨰
timesbar,⨱
btimes,⨲
smashtimes,⨳
otimeslhrim,⨴
otimesrhrim,⨵
otimeshat,⨶
Otimes,⨷
odiv,⨸
triangleplus,⨹
triangleminus,⨺
triangletimes,⨻
intprod,⨼
intprodr,⨽
fcmp,⨾
amalg,⨿
capdot,⩀
uminus,⩁
barcup,⩂
barcap,⩃
capwedge,⩄
cupvee,⩅
cupovercap,⩆
capovercup,⩇
cupbarcap,⩈
capbarcup,⩉
twocups,⩊
twocaps,⩋
closedvarcup,⩌
closedvarcap,⩍
Sqcap,⩎
Sqcup,⩏
closedvarcupsmashprod,⩐
wedgeodot,⩑
veeodot,⩒
Wedge,⩓
Vee,⩔
wedgeonwedge,⩕
veeonvee,⩖
bigslopedvee,⩗
bigslopedwedge,⩘
veeonwedge,⩙
wedgemidvert,⩚
veemidvert,⩛
midbarwedge,⩜
midbarvee,⩝
doublebarwedge,⩞
wedgebar,⩟
wedgedoublebar,⩠
varveebar,⩡
doublebarvee,⩢
veedoublebar,⩣
dsub,⩤
rsub,⩥
eqdot,⩦
dotequiv,⩧
equivVert,⩨
equivVvert,⩩
dotsim,⩪
simrdots,⩫
simminussim,⩬
congdot,⩭
asteq,⩮
hatapprox,⩯
approxeqq,⩰
eqqplus,⩱
pluseqq,⩲
eqqsim,⩳
Coloneq,⩴
eqeq,⩵
eqeqeq,⩶
ddotseq,⩷
equivDD,⩸
ltcir,⩹
gtcir,⩺
ltquest,⩻
gtquest,⩼
leqslant,⩽
geqslant,⩾
lesdot,⩿
gesdot,⪀
lesdoto,⪁
gesdoto,⪂
lesdotor,⪃
gesdotol,⪄
lessapprox,⪅
gtrapprox,⪆
lneq,⪇
gneq,⪈
lnapprox,⪉
gnapprox,⪊
lesseqqgtr,⪋
gtreqqless,⪌
lsime,⪍
gsime,⪎
lsimg,⪏
gsiml,⪐
lgE,⪑
glE,⪒
lesges,⪓
gesles,⪔
eqslantless,⪕
eqslantgtr,⪖
elsdot,⪗
egsdot,⪘
eqqless,⪙
eqqgtr,⪚
eqqslantless,⪛
eqqslantgtr,⪜
simless,⪝
simgtr,⪞
simlE,⪟
simgE,⪠
Lt,⪡
Gt,⪢
partialmeetcontraction,⪣
glj,⪤
gla,⪥
ltcc,⪦
gtcc,⪧
lescc,⪨
gescc,⪩
smt,⪪
lat,⪫
smte,⪬
late,⪭
bumpeqq,⪮
preceq,⪯
succeq,⪰
precneq,⪱
succneq,⪲
preceqq,⪳
succeqq,⪴
precneqq,⪵
succneqq,⪶
precapprox,⪷
succapprox,⪸
precnapprox,⪹
succnapprox,⪺
Prec,⪻
Succ,⪼
subsetdot,⪽
supsetdot,⪾
subsetplus,⪿
supsetplus,⫀
submult,⫁
supmult,⫂
subedot,⫃
supedot,⫄
subseteqq,⫅
supseteqq,⫆
subsim,⫇
supsim,⫈
subsetapprox,⫉
supsetapprox,⫊
subsetneqq,⫋
supsetneqq,⫌
lsqhook,⫍
rsqhook,⫎
csub,⫏
csup,⫐
csube,⫑
csupe,⫒
subsup,⫓
supsub,⫔
subsub,⫕
supsup,⫖
suphsub,⫗
supdsub,⫘
forkv,⫙
topfork,⫚
mlcp,⫛
forks,⫝̸
forksnot,⫝
shortlefttack,⫞
shortdowntack,⫟
shortuptack,⫠
perps,⫡
vDdash,⫢
dashV,⫣
Dashv,⫤
DashV,⫥
varVdash,⫦
Barv,⫧
vBar,⫨
vBarv,⫩
barV,⫪
Vbar,⫫
Not,⫬
bNot,⫭
revnmid,⫮
cirmid,⫯
midcir,⫰
topcir,⫱
nhpar,⫲
parsim,⫳
interleave,⫴
nhVvert,⫵
threedotcolon,⫶
lllnest,⫷
gggnest,⫸
leqqslant,⫹
geqqslant,⫺
trslash,⫻
biginterleave,⫼
sslash,⫽
talloblong,⫾
bigtalloblong,⫿
squaretopblack,⬒
squarebotblack,⬓
squareurblack,⬔
squarellblack,⬕
diamondleftblack,⬖
diamondrightblack,⬗
diamondtopblack,⬘
diamondbotblack,⬙
dottedsquare,⬚
lgblksquare,⬛
lgwhtsquare,⬜
vysmblksquare,⬝
vysmwhtsquare,⬞
pentagonblack,⬟
pentagon,⬠
varhexagon,⬡
varhexagonblack,⬢
hexagonblack,⬣
lgblkcircle,⬤
mdblkdiamond,⬥
mdwhtdiamond,⬦
mdblklozenge,⬧
mdwhtlozenge,⬨
smblkdiamond,⬩
smblklozenge,⬪
smwhtlozenge,⬫
blkhorzoval,⬬
whthorzoval,⬭
blkvertoval,⬮
whtvertoval,⬯
circleonleftarrow,⬰
leftthreearrows,⬱
leftarrowonoplus,⬲
longleftsquigarrow,⬳
nvtwoheadleftarrow,⬴
nVtwoheadleftarrow,⬵
twoheadmapsfrom,⬶
twoheadleftdbkarrow,⬷
leftdotarrow,⬸
nvleftarrowtail,⬹
nVleftarrowtail,⬺
twoheadleftarrowtail,⬻
nvtwoheadleftarrowtail,⬼
nVtwoheadleftarrowtail,⬽
leftarrowx,⬾
leftcurvedarrow,⬿
equalleftarrow,⭀
bsimilarleftarrow,⭁
leftarrowbackapprox,⭂
rightarrowgtr,⭃
rightarrowsupset,⭄
LLeftarrow,⭅
RRightarrow,⭆
bsimilarrightarrow,⭇
rightarrowbackapprox,⭈
similarleftarrow,⭉
leftarrowapprox,⭊
leftarrowbsimilar,⭋
rightarrowbsimilar,⭌
medwhitestar,⭐
medblackstar,⭑
smwhitestar,⭒
rightpentagonblack,⭓
rightpentagon,⭔
postalmark,〒
hzigzag,〰
bf_A,𝐀
